UniversityLabel,AlumnusLabel,EmployerLabel,BirthPlaceLabel,ULocationLabel,OccupationLabel,DateOfDeathLabel,DateOfBirthLabel,FoundationDateLabel,ELocationLabel
Lund University,Christian Wilhelm Blomstrand,Lund University,Q10718572,Lund Municipality,university teacher,1897-11-05T00:00:00Z,1826-10-20T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Lund University,Anders Retzius,Karolinska Institute,Lunds domkyrkoförsamling,Lund Municipality,biologist,1860-04-18T00:00:00Z,1796-10-13T00:00:00Z,1666-12-19T00:00:00Z,Solna Municipality
Lund University,Anders Retzius,Karolinska Institute,Lunds domkyrkoförsamling,Lund Municipality,university teacher,1860-04-18T00:00:00Z,1796-10-13T00:00:00Z,1666-12-19T00:00:00Z,Solna Municipality
Lund University,Anders Retzius,Karolinska Institute,Lunds domkyrkoförsamling,Lund Municipality,anthropologist,1860-04-18T00:00:00Z,1796-10-13T00:00:00Z,1666-12-19T00:00:00Z,Solna Municipality
Lund University,Anders Retzius,Karolinska Institute,Lunds domkyrkoförsamling,Lund Municipality,anatomist,1860-04-18T00:00:00Z,1796-10-13T00:00:00Z,1666-12-19T00:00:00Z,Solna Municipality
Lund University,Anders Jahan Retzius,Lund University,Kristianstad,Lund Municipality,pharmacist,1821-10-06T00:00:00Z,1742-10-03T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Lund University,Anders Jahan Retzius,Lund University,Kristianstad,Lund Municipality,zoologist,1821-10-06T00:00:00Z,1742-10-03T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Lund University,Anders Jahan Retzius,Lund University,Kristianstad,Lund Municipality,chemist,1821-10-06T00:00:00Z,1742-10-03T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Lund University,Anders Jahan Retzius,Lund University,Kristianstad,Lund Municipality,university teacher,1821-10-06T00:00:00Z,1742-10-03T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Lund University,Anders Jahan Retzius,Lund University,Kristianstad,Lund Municipality,botanist,1821-10-06T00:00:00Z,1742-10-03T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Lund University,Anders Jahan Retzius,Lund University,Kristianstad,Lund Municipality,entomologist,1821-10-06T00:00:00Z,1742-10-03T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Lund University,Anders Jahan Retzius,Lund University,Kristianstad,Lund Municipality,mineralogist,1821-10-06T00:00:00Z,1742-10-03T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Lund University,Anders Lindstedt,Royal Institute of Technology,Q10683735,Lund Municipality,astronomer,1939-05-16T00:00:00Z,1854-06-27T00:00:00Z,1666-12-19T00:00:00Z,Stockholm Municipality
Lund University,Anders Lindstedt,Royal Institute of Technology,Q10683735,Lund Municipality,judge,1939-05-16T00:00:00Z,1854-06-27T00:00:00Z,1666-12-19T00:00:00Z,Stockholm Municipality
Lund University,Anders Lindstedt,Royal Institute of Technology,Q10683735,Lund Municipality,mathematician,1939-05-16T00:00:00Z,1854-06-27T00:00:00Z,1666-12-19T00:00:00Z,Stockholm Municipality
Lund University,Anders Lindstedt,Royal Institute of Technology,Q10683735,Lund Municipality,actuary,1939-05-16T00:00:00Z,1854-06-27T00:00:00Z,1666-12-19T00:00:00Z,Stockholm Municipality
Lund University,Anders Lindstedt,Royal Institute of Technology,Q10683735,Lund Municipality,university teacher,1939-05-16T00:00:00Z,1854-06-27T00:00:00Z,1666-12-19T00:00:00Z,Stockholm Municipality
Lund University,Anders Wiman,Lund University,Hammarlöv,Lund Municipality,mathematician,1959-08-13T00:00:00Z,1865-02-11T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Karolinska Institute,Pehr Victor Edman,Lund University,Stockholm,Solna Municipality,chemist,1977-03-19T00:00:00Z,1916-04-14T00:00:00Z,1810-01-01T00:00:00Z,Lund Municipality
Chalmers University of Technology,Bernhard Schmidt,Hamburg-Bergedorf Observatory,Naissaar,Gothenburg Municipality,astronomer,1935-12-01T00:00:00Z,1879-04-11T00:00:00Z,1829-01-01T00:00:00Z,Bergedorf
Lund University,Sven Ludvig Lovén,Lund University,Maria Magdalena församling,Lund Municipality,zoologist,1895-09-03T00:00:00Z,1809-01-06T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Lund University,Sven Ludvig Lovén,Lund University,Maria Magdalena församling,Lund Municipality,university teacher,1895-09-03T00:00:00Z,1809-01-06T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Lund University,Sven Ludvig Lovén,Lund University,Maria Magdalena församling,Lund Municipality,physiologist,1895-09-03T00:00:00Z,1809-01-06T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
Lund University,Sven Ludvig Lovén,Lund University,Maria Magdalena församling,Lund Municipality,marine biologist,1895-09-03T00:00:00Z,1809-01-06T00:00:00Z,1666-12-19T00:00:00Z,Lund Municipality
